sample-id,site-id,sample-type,sample,pcr-replicate,area,location,latitude,longitude,salinity-refractometer,salinity-description,temp-c,pH,pHmV,oxidation-reduction-potential-mv,conductivity-mS/cm,turbidity-NTU,dissolved-oxygen-mg/l,total-dissolved-solids-g/l,salinity-ppt,seawater-specific-gravity-σt,mean-size,size-desc,sorting,sorting-desc,skewness,skewness-desc,kurtosis,kurtosis-desc,organic-composition,reads,asvs,pd
miami25-1-1,Miami_01,water,1,1,middle,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7,90709,74,13.506855
miami25-2-1,Miami_01,water,1,2,middle,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7,106495,74,13.0879815
miami25-3-1,Miami_01,water,1,3,middle,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7,167681,82,11.9656295
miami25-1-2,Miami_01,water,2,1,middle,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7,95545,77,12.2988326
miami25-2-2,Miami_01,water,2,2,middle,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7,26992,53,8.15590759
miami25-3-2,Miami_01,water,2,3,middle,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7,173285,80,11.5638496
miami25-1-3,Miami_01,water,3,1,middle,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7,53621,61,7.58612005
miami25-2-3,Miami_01,water,3,2,middle,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7,32051,55,7.91407811
miami25-3-3,Miami_01,water,3,3,middle,black point marina docks,25.538611,-80.3275,28,polyhaline,22.52,7.57,-59,190,22.4,104,4.94,13.9,13.5,8,0.08,coarse,0.782,moderately-well,1.64,very-fine,1.474,leptokurtic,1.7,134851,67,8.07029717
miami25-1-4,Miami_02,water,4,1,middle,mangroves,25.535833,-80.324722,30,euhaline,22.86,7.77,-71,195,23.7,49.7,4.84,14.7,14.34,8.5,-0.266,very-coarse,0.494,well,2.174,very-fine,1.845,very-leptokurtic,5.8,58271,98,17.7945164
miami25-2-4,Miami_02,water,4,2,middle,mangroves,25.535833,-80.324722,30,euhaline,22.86,7.77,-71,195,23.7,49.7,4.84,14.7,14.34,8.5,-0.266,very-coarse,0.494,well,2.174,very-fine,1.845,very-leptokurtic,5.8,33021,92,15.3075959
miami25-3-4,Miami_02,water,4,3,middle,mangroves,25.535833,-80.324722,30,euhaline,22.86,7.77,-71,195,23.7,49.7,4.84,14.7,14.34,8.5,-0.266,very-coarse,0.494,well,2.174,very-fine,1.845,very-leptokurtic,5.8,267911,117,18.2300287
