PCR Control Taxa:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature ID,Taxon,,,,,,,,,,,,,,Taxonomic ID,Qiime2 ID,miami25-1-1-6-neg,miami25-1-7-15-neg,miami25-1-16-24-neg,miami25-1-25-33-neg,miami25-1-34-C2-neg,miami25-2-7-15-neg,miami25-1-C1,miami25-2-C1,miami25-3-C1,miami25-1-C2,miami25-2-C2,miami25-3-C2
0319e2da69396b1a4228af3cc5832933,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__metagenome,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Bryozoa; c__Phylactolaemata; o__Plumatellida; f__Plumatellida; g__Plumatellida; s__Plumatella_casmiana,0000831a1bd02f3c47148946c33dfeac,0,0,0,0,0,0,0,0,0,0,0,0
04e88106bd2f9b845ddbab4800001fcc,sk__Holozoa; k__Animalia; p__Nematozoa; c__Enoplea; o__Enoplida; f__Enoplida; g__Enoplida; s__Pontonema_vulgare,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Cnidaria; c__Hydrozoa; o__Leptothecata; f__Leptothecata; g__Leptothecata; s__Halopteris_alternata,0015bba5f38bbafcf8a63887fffb598f,0,0,0,0,0,0,0,0,0,0,0,0
0576e14fbfdd323f730ae2b489c26c10,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__metagenome,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida; s__Daphnia_pulex,008ff1a50ed2f1f4cda3adeb70de9b4f,0,0,0,0,0,0,305,3331,1915,0,0,0
09a16a36912e7d301a8a8644145a7806,sk__Holozoa; k__Animalia; p__Gastrotricha; c__Gastrotricha; o__Chaetonotida; f__Chaetonotida; g__Chaetonotida; s__uncultured_eukaryote,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Mollusca; c__Gastropoda; o__Heterobranchia; f__Heterobranchia; g__Heterobranchia; s__Oxynoe_antillarum,00db0a828cd60b8a58023b083b005ed4,0,0,0,0,0,0,0,0,0,0,0,0
0d1e50c967f67fa02c450ad96fe35239,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__Notholca_acuminata,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Nematozoa; c__Chromadorea; o__Monhysterida; f__Monhysterida; g__Monhysterida; s__Monhysteridae_environmental,0163343ac22180069e5e28137ec27a20,0,0,0,0,0,0,0,0,0,0,0,0
0f67af7ad88a7d4998e8de1b9dc550c9,sk__Holozoa; k__Animalia; p__Nematozoa; c__Enoplea; o__Triplonchida; f__Triplonchida; g__Triplonchida; s__Nematoda_environmental,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Nematozoa; c__Chromadorea; o__Araeolaimida; f__Araeolaimida; g__Araeolaimida; s__Paraphanolaimus_behningi,018a5fc8e369b9440db61ec387032de7,0,0,0,0,0,0,0,0,0,0,0,0
1099cbce215e92be701cf08b6a9e5b49,sk__Holozoa; k__Animalia; p__Nematozoa; c__Chromadorea; o__Monhysterida; f__Monhysterida; g__Monhysterida; s__Metadesmolaimus_sp.,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__uncultured_eukaryote,018f0e6b719470a4567062ee3c6a569f,0,0,0,0,0,0,0,0,0,0,0,0
1449356913f40176d48ef4c8f1bba445,sk__Holozoa; k__Animalia; p__Arthropoda; c__Arachnida; o__Acari; f__Acari; g__Acari; s__Stigmalychus_sp.,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Gastrotricha; c__Gastrotricha; o__Chaetonotida; f__Chaetonotida; g__Chaetonotida; s__uncultured_eukaryote,019f5bb2a444579310ac4c5cb6c8db6f,0,0,0,0,0,0,0,0,0,0,0,0
18a3d40e0b8bd6b165465f8ef550c367,sk__Holozoa; k__Animalia; p__Nematozoa; c__Chromadorea; o__Tylenchida; f__Tylenchida; g__Tylenchida; s__Crossonema_sp.,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Calanoida; f__Calanoida; g__Calanoida; s__Pseudodiaptomus_euryhalinus,01ac47a30c74ca2d94797edd0785c85b,0,0,0,0,0,0,0,0,0,0,0,0
1c8fea5237b0c79919e4bbe2582576d3,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__uncultured_eukaryote,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Platyhelminthes; c__Rhabditophora; o__Rhabdocoela; f__Neodalyellida; g__Neodalyellida; s__Mesostoma_lingua,01fe8af0764890b12d75e0ac6aa0c42b,0,0,0,0,0,0,0,0,17,0,0,0
1e63d0fe5cdb7046d1372403ee943e3d,sk__Holozoa; k__Animalia; p__Rotifera; c__Bdelloidea; o__Adinetida; f__Adinetida; g__Adinetida; s__Hyalella_azteca,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Platyhelminthes; c__Rhabditophora; o__Macrostomida; f__Macrostomida; g__Macrostomida; s__Macrostomum_sinensis,023111c771a04251cdbd94e67c78af68,0,0,0,0,0,0,0,0,0,0,0,0
22b813542a337355eb8fa7179ce8fcc5,sk__Holozoa; k__Animalia; p__Gastrotricha; c__Gastrotricha; o__Chaetonotida; f__Chaetonotida; g__Chaetonotida; s__uncultured_eukaryote,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Poecilostomatoida; f__Poecilostomatoida; g__Poecilostomatoida; s__Holobomolochus_sp.,024e58163b9d0f598ade431ed7ec0201,0,0,0,0,0,0,0,0,0,0,0,0
23e9376379583791a377cf61b2f67748,sk__Holozoa; k__Animalia; p__Platyhelminthes; c__Rhabditophora; o__Rhabdocoela; f__Neodalyellida; g__Neodalyellida; s__Castrella_truncata,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Branchiopoda; o__Diplostraca; f__Diplostraca; g__Diplostraca; s__Diaphanosoma_sp.,031557a9a1f08477a59fb8623aa84d5f,0,0,0,0,0,0,0,0,0,0,0,0
23f48a0332534952c8b9d173781bb8c1,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Harpacticoida; f__Harpacticoida; g__Harpacticoida; s__Paramphiascella_fulvofasciata,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__metagenome,0319e2da69396b1a4228af3cc5832933,20,0,0,0,0,0,0,0,0,0,0,0
24249caf811f3265d5bdba269b87401e,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida; s__uncultured_eukaryote,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida; s__Daphnia_pulex,034a0b9caed66716cbaa4a5d5c778402,0,0,0,0,0,0,0,0,0,0,0,0
29392db03951d8b2a3e9ea07d3274cc6,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida; s__Daphnia_pulex,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Platyhelminthes; c__Rhabditophora; o__Polycladida; f__Polycladida; g__Polycladida; s__Prostheceraeus_vittatus,037a8a79712db12ec46d182fc7b2df47,0,0,0,0,0,0,0,0,0,0,0,0
2ad37f27c9b05603584fb0c56b9280e8,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida; s__Cyclops_kolensis,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Nematozoa; c__Chromadorea; o__Chromadorida; f__Chromadorida; g__Chromadorida; s__Chromadorina_sp.,03caa51969d3ad3df62ebcc261d5055d,0,0,0,0,0,0,0,0,0,0,0,0
3220e6484e76564be1d43b4c9299804f,sk__Holozoa; k__Animalia; p__Arthropoda; c__Branchiopoda; o__Diplostraca; f__Diplostraca; g__Diplostraca; s__Daphnia_magna,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Calanoida; f__Calanoida; g__Calanoida; s__uncultured_eukaryote,044d09a70f67724e639c4e01d70c3c5b,0,0,0,0,0,0,0,0,0,0,0,0
3334ec0f592d71d0c342d96fee3fd4a3,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Copepoda; f__Copepoda; g__Copepoda; s__Bryocamptus_stillae,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Nematozoa; c__Chromadorea; o__Tylenchida; f__Tylenchida; g__Tylenchida; s__Mesocriconema_curvatum,0452a319e664dee8c6d726f0fba5b15b,0,0,0,0,0,0,0,0,0,0,0,0
389fced4298fbaf28b4d4a55ee267e40,sk__Holozoa; k__Animalia; p__Annelida; c__Polychaeta; o__Phyllodocida; f__Phyllodocida; g__Phyllodocida; s__Gyptis_golikovi,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Rotifera; c__Monogononta; o__Ploimida; f__Ploimida; g__Ploimida; s__metagenome,04590d89a1168fa523ada449766144e8,0,0,0,0,0,0,487,6574,5744,0,0,0
3ac90e0d1011278053454ec3f74a381f,sk__Holozoa; k__Animalia; p__Nematozoa; c__Enoplea; o__Enoplida; f__Enoplida; g__Enoplida; s__Pontonema_vulgare,,,,,,,,,,,,,,sk__Holozoa; k__Animalia; p__Arthropoda; c__Maxillopoda; o__Cyclopoida; f__Cyclopoida; g__Cyclopoida; s__Halicyclops_sp.,046272c8e19d2caa490ad04a095e0bb7,0,0,0,0,0,0,0,0,0,0,0,0
